train_loss,train_accuracy,val_loss,val_accuracy,model_size(MB)
0.6589428782463074,0.7399076223373413,1.9041012525558472,0.41881027817726135,4.656517028808594
0.5577337145805359,0.7863024473190308,2.7971718311309814,0.2974276542663574,7.077522277832031
0.5878000259399414,0.7648122310638428,7.74823522567749,0.29903537034988403,8.42474365234375
0.4197014272212982,0.8407310843467712,2.585045337677002,0.5466237664222717,8.087226867675781
0.8281967043876648,0.6603735685348511,2.1298577785491943,0.5353697538375854,5.915592193603516
0.6591029763221741,0.738099992275238,5.746776580810547,0.28858521580696106,8.336559295654297
0.7007544636726379,0.7077726721763611,5.098498344421387,0.25562700629234314,9.701587677001953
0.5532623529434204,0.7903193235397339,3.422632932662964,0.43167203664779663,9.364002227783203
1.0634812116622925,0.5404699444770813,4.076115131378174,0.2516077160835266,5.16741943359375
1.0071070194244385,0.5621610879898071,1.8905991315841675,0.39308682084083557,7.587196350097656
1.1132951974868774,0.5035147666931152,1.136577844619751,0.46061092615127563,8.927528381347656
0.7846822142601013,0.6840730905532837,3.2264564037323,0.3553054630756378,8.590507507324219
1.1830674409866333,0.43121108412742615,1.1225554943084717,0.4887459874153137,4.365043640136719
1.1873592138290405,0.4432617127895355,1.5180362462997437,0.3102893829345703,6.784080505371094
1.1946977376937866,0.4306085705757141,2.287590265274048,0.2516077160835266,8.108489990234375
1.1683251857757568,0.45430809259414673,2.041896104812622,0.2813504934310913,7.770973205566406
1.2417418956756592,0.41574612259864807,1.3153325319290161,0.3850482404232025,6.358196258544922
1.218031406402588,0.43984735012054443,1.2004474401474,0.3520900309085846,8.779193878173828
1.295120120048523,0.39706769585609436,1.3892017602920532,0.3263665735721588,10.112628936767578
1.255897045135498,0.4008837044239044,1.759029507637024,0.34565916657447815,9.776248931884766
1.2436531782150269,0.40811407566070557,1.2710657119750977,0.3971061110496521,5.422149658203125
1.275518774986267,0.3739706873893738,1.2164857387542725,0.37861737608909607,7.841133117675781
1.2056512832641602,0.46013256907463074,1.242107629776001,0.40675240755081177,9.195137023925781
1.2033672332763672,0.44647520780563354,13.144911766052246,0.2636655867099762,8.859626770019531
